Size,单机(NVLinkx),2 机(NIC ),4 机 32 卡(NIC),8机 64 卡(NIC),16机 128 卡(NIC),32机256卡(NIC),64机512卡(NIC),128机1024卡(NIC),Multi 16,Multi 32,Muiti 64,Multi (NIC)
16777216,0.45,0.55,0.34,0.16,0.08,,,,0.86,0.86,0.77,
33554432,0.55,0.68,0.6,0.34,0.16,,,,0.92,0.9,0.8,
67108864,0.65,0.74,0.71,0.62,0.33,,,,0.94,0.91,0.83,
134217728,0.69,0.8,0.74,0.7,0.65,,,,0.94,0.92,0.87,
268435456,0.73,0.84,0.79,0.78,0.72,,,,0.94,0.93,0.91,0.9
536870912,0.76,0.86,0.86,0.82,0.75,,,,0.95,0.94,0.93,0.95
1073741824,0.77,0.87,0.87,0.86,0.83,,,,0.96,0.95,0.94,0.95
2147483648,0.78,0.87,0.87,0.87,0.86,,,,0.96,0.96,0.95,0.95
4294967296,0.79,0.88,0.88,0.88,0.87,,,,0.96,0.96,0.95,0.95
8589934592,0.8,0.88,0.88,0.88,0.88,,,,0.96,0.96,0.96,0.95
17179869184,0.81,0.88,0.88,0.88,0.88,,,,0.96,0.96,0.96,0.95
